,client_id,activation_id,start_time,end_time,diff
0,83.0,407e582ce74e4a3fbe582ce74eea3f46,1600856746.453815,1600856758.92852,12.47470498085022
1,59.0,0bc4a9db3b2d492f84a9db3b2dd92f4d,1600856746.554968,1600856763.4296489,16.874680757522583
2,63.0,d70d9a6281054d948d9a6281058d9454,1600856746.659877,1600856758.9715352,12.311658143997192
3,35.0,7693c749cc2a412893c749cc2a3128a8,1600856746.757786,1600856766.424175,19.666388988494873
4,87.0,a7661ba11c6446a8a61ba11c64a6a817,1600856746.857718,1600856759.021549,12.163830995559692
5,0.0,085b956eb5e64d069b956eb5e61d0682,1600856746.96134,1600856763.4805892,16.519249200820923
6,20.0,bec23aa2eae84029823aa2eae890296e,1600856747.0628061,1600856759.074059,12.011252880096436
7,57.0,eb730a7a6af648f3b30a7a6af6c8f3d1,1600856747.16917,1600856768.4569972,21.287827253341675
8,86.0,dc4603adc62640c48603adc626e0c422,1600856747.267499,1600856759.138637,11.871138095855713
9,46.0,7e285ecf1eaa4b0fa85ecf1eaa1b0fbb,1600856747.370067,1600856763.52809,16.15802311897278
10,98.0,a1e46a03472541c5a46a034725f1c578,1600856747.46863,1600856766.470338,19.001708030700684
11,37.0,8ed36949e2c242bc936949e2c262bc22,1600856747.566116,1600856759.227676,11.661559820175171
12,1.0,bd91fb3e180e464691fb3e180e664658,1600856747.667329,1600856763.5751371,15.907808065414429
13,56.0,22211b54a0f64f66a11b54a0f69f6658,1600856747.762646,1600856759.276345,11.513699054718018
14,78.0,e514d91a947d4c8194d91a947d9c81c9,1600856747.8615701,1600856770.045629,22.184058904647827
15,15.0,b6eb23e61e4d4b79ab23e61e4dab7993,1600856747.963392,1600856759.325823,11.362431049346924
16,84.0,759a297628a541499a297628a51149bc,1600856748.067797,1600856763.623342,15.555545091629028
17,42.0,9c067ee1b14f41e3867ee1b14fe1e305,1600856748.171326,1600856759.376965,11.205639123916626
18,67.0,e205a6ca1ab444c685a6ca1ab484c603,1600856748.276295,1600856766.5195332,18.2432382106781
19,25.0,ea41036bd9044f9a81036bd9042f9a8b,1600856748.379989,1600856759.42518,11.045191049575806
20,49.0,014ed1be7b0d4fa98ed1be7b0ddfa976,1600856748.484709,1600856763.66893,15.184221029281616
21,47.0,3552403d659f48fa92403d659fe8fa83,1600856748.588518,1600856759.464562,10.876044034957886
22,27.0,412bb9165da2409aabb9165da2909a87,1600856748.685952,1600856768.504385,19.818433046340942
23,4.0,8a9b8bac2e1141039b8bac2e1111034a,1600856748.785058,1600856759.505811,10.720752954483032
24,93.0,c1b72cc8807f4dd0b72cc8807fddd0e9,1600856748.888876,1600856763.715806,14.826930046081543
25,26.0,4229ea65fc1442c9a9ea65fc1472c9b0,1600856748.990577,1600856766.5676868,17.577109813690186
26,82.0,306ab5df8bd64795aab5df8bd6779595,1600856749.091087,1600856759.5933151,10.502228021621704
27,39.0,e1ce85ea2c5e4b9e8e85ea2c5ebb9e4e,1600856749.188968,1600856763.7585049,14.569536924362183
28,44.0,44355a008b8b44d2b55a008b8b44d231,1600856749.2913249,1600856759.643494,10.352169036865234
29,54.0,48d35e642b4b4279935e642b4b227927,1600856749.3915782,1600856771.374099,21.982520818710327
30,92.0,37a21e40ff344291a21e40ff34f291ef,1600856749.491464,1600856759.6901991,10.198735237121582
31,77.0,07e2c315e13446bda2c315e13456bd42,1600856749.601005,1600856763.807039,14.206033945083618
32,55.0,6b350acc09c646bab50acc09c606baf9,1600856749.702476,1600856766.613475,16.910999059677124
33,79.0,a55b83609eee495a9b83609eee595a33,1600856749.804236,1600856763.8541062,14.049870252609253
34,21.0,d5684b59d8254b44a84b59d8252b44c8,1600856749.926165,1600856768.551926,18.625760793685913
