Iter:44, Accuracy: 0.985, InvokeTime:10.653493881225586,  aggTime: 14.327255010604858, total Time: 50.32899188995361, Training Time: 25.34824299812317          
Iter:45, Accuracy: 0.985, InvokeTime:10.565030813217163,  aggTime: 13.996536016464233, total Time: 49.66052198410034, Training Time: 25.098955154418945         
Iter:46, Accuracy: 0.988, InvokeTime:12.608469009399414,  aggTime: 14.064601182937622, total Time: 48.280576944351196, Training Time: 21.60750675201416          
Iter:47, Accuracy: 0.985, InvokeTime:10.613988161087036,  aggTime: 13.914292097091675, total Time: 46.03200602531433, Training Time: 21.50372576713562          
Iter:48, Accuracy: 0.988, InvokeTime:10.455213069915771,  aggTime: 13.897637844085693, total Time: 83.28421092033386, Training Time: 58.9313600063324          
Iter:49, Accuracy: 0.983, InvokeTime:10.45890998840332,  aggTime: 13.118480920791626, total Time: 69.48134684562683, Training Time: 45.903955936431885          
Iter:50, Accuracy: 0.988, InvokeTime:10.568319082260132,  aggTime: 13.404074907302856, total Time: 64.8819808959961, Training Time: 40.909586906433105          
Iter:51, Accuracy: 0.989, InvokeTime:10.461771965026855,  aggTime: 13.244840860366821, total Time: 64.24842190742493, Training Time: 40.54180908203125           
Iter:52, Accuracy: 0.986, InvokeTime:10.50785493850708,  aggTime: 13.301273822784424, total Time: 53.08577489852905, Training Time: 29.27664613723755          
Iter:53, Accuracy: 0.989, InvokeTime:10.498664855957031,  aggTime: 13.262767791748047, total Time: 47.978442907333374, Training Time: 24.217010259628296          
Iter:54, Accuracy: 0.986, InvokeTime:10.841670036315918,  aggTime: 13.494052171707153, total Time: 56.44065117835999, Training Time: 32.104928970336914          
Iter:55, Accuracy: 0.989, InvokeTime:10.554614067077637,  aggTime: 13.212892770767212, total Time: 50.67304587364197, Training Time: 26.90553903579712          
Iter:56, Accuracy: 0.990, InvokeTime:10.583148002624512,  aggTime: 13.588366270065308, total Time: 44.65485906600952, Training Time: 20.483344793319702          
